Ville,Lien,Population,Densité de population,Nombre de ménages,Habitants par ménage,Nombre de familles,Naissances,Décès,Solde naturel,Hommes,Femmes,Moins de 15 ans,15 - 29 ans,30 - 44 ans,45 - 59 ans,60 - 74 ans,75 ans et plus,Familles monoparentales,Couples sans enfant,Couples avec enfant,Familles sans enfant,Familles avec un enfant,Familles avec deux enfants,Familles avec trois enfants,Familles avec quatre enfants ou plus,Personnes célibataires,Personnes mariées,Personnes divorcées,Personnes veuves,Personnes en concubinage,Personnes pacsées,Population étrangère,Hommes étrangers,Femmes étrangères,Moins de 15 ans étrangers,15-24 ans étrangers,25-54 ans étrangers,55 ans et plus étrangers,Population immigrée,Hommes immigrés,Femmes immigrées,Moins de 15 ans immigrés,15-24 ans immigrés,25-54 ans immigrés,55 ans et plus immigrés,nbre habitants (2006),nbre habitants (2007),nbre habitants (2008),nbre habitants (2009),nbre habitants (2010),nbre habitants (2011),nbre habitants (2012),nbre habitants (2013),nbre habitants (2014),nbre habitants (2015),nbre habitants (2016),nbre habitants (2017),nbre habitants (2018),nbre naissances (1999),nbre naissances (2000),nbre naissances (2001),nbre naissances (2002),nbre naissances (2003),nbre naissances (2004),nbre naissances (2005),nbre naissances (2006),nbre naissances (2007),nbre naissances (2008),nbre naissances (2009),nbre naissances (2010),nbre naissances (2011),nbre naissances (2012),nbre naissances (2013),nbre naissances (2014),nbre naissances (2015),nbre naissances (2016),nbre naissances (2017),nbre naissances (2018),nbre naissances (2019),nbre deces (1999),nbre deces (2000),nbre deces (2001),nbre deces (2002),nbre deces (2003),nbre deces (2004),nbre deces (2005),nbre deces (2006),nbre deces (2007),nbre deces (2008),nbre deces (2009),nbre deces (2010),nbre deces (2011),nbre deces (2012),nbre deces (2013),nbre deces (2014),nbre deces (2015),nbre deces (2016),nbre deces (2017),nbre deces (2018),nbre deces (2019),nbre étrangers (2006),nbre étrangers (2007),nbre étrangers (2008),nbre étrangers (2009),nbre étrangers (2010),nbre étrangers (2011),nbre étrangers (2012),nbre étrangers (2013),nbre étrangers (2014),nbre étrangers (2015),nbre étrangers (2016),nbre étrangers (2017),nbre étrangers (2018),nbre immigrés (2006),nbre immigrés (2007),nbre immigrés (2008),nbre immigrés (2009),nbre immigrés (2010),nbre immigrés (2011),nbre immigrés (2012),nbre immigrés (2013),nbre immigrés (2014),nbre immigrés (2015),nbre immigrés (2016),nbre immigrés (2017),nbre immigrés (2018)
Boissise-la-Bertrand (77350),https://www.journaldunet.com/management/ville/boissise-la-bertrand/ville-77039/demographie,1149.0,147.0,377.0,3.0,290.0,12.0,40.0,-28.0,506.0,643.0,180.0,140.0,187.0,207.0,232.0,142.0,25.0,121.0,144.0,136.0,55.0,74.0,25.0,0.0,186.0,496.0,51.0,133.0,74.0,30.0,41.0,17.0,24.0,2.0,0.0,18.0,21.0,89.0,38.0,51.0,0.0,1.0,31.0,57.0,960.0,966.0,963.0,960.0,1006.0,1068.0,1130.0,1159.0,1180.0,1170.0,1160.0,1150.0,1149.0,10.0,11.0,3.0,9.0,5.0,10.0,6.0,11.0,7.0,6.0,4.0,15.0,7.0,5.0,12.0,5.0,7.0,10.0,13.0,5.0,12.0,13.0,23.0,15.0,12.0,20.0,29.0,27.0,26.0,27.0,21.0,36.0,39.0,41.0,39.0,37.0,41.0,37.0,48.0,41.0,40.0,40.0,31.0,31.0,31.0,31.0,35.0,38.0,39.0,39.0,39.0,41.0,41.0,41.0,41.0,51.0,51.0,51.0,51.0,55.0,58.0,62.0,62.0,66.0,89.0,89.0,89.0,89.0
Châtenay-sur-Seine (77126),https://www.journaldunet.com/management/ville/chatenay-sur-seine/ville-77101/demographie,1046.0,80.0,399.0,2.6,323.0,10.0,6.0,4.0,519.0,527.0,199.0,166.0,216.0,231.0,151.0,76.0,21.0,148.0,154.0,163.0,72.0,62.0,21.0,5.0,185.0,414.0,37.0,54.0,120.0,38.0,31.0,17.0,14.0,3.0,1.0,18.0,9.0,44.0,17.0,27.0,1.0,4.0,23.0,16.0,895.0,897.0,892.0,911.0,933.0,955.0,964.0,968.0,994.0,1007.0,1020.0,1024.0,1046.0,9.0,19.0,8.0,4.0,7.0,6.0,6.0,7.0,9.0,10.0,11.0,10.0,11.0,14.0,11.0,8.0,10.0,14.0,14.0,15.0,10.0,3.0,11.0,12.0,3.0,9.0,7.0,7.0,4.0,10.0,4.0,2.0,4.0,7.0,9.0,5.0,11.0,8.0,7.0,14.0,6.0,6.0,18.0,18.0,18.0,28.0,28.0,28.0,28.0,28.0,31.0,31.0,31.0,31.0,31.0,36.0,36.0,36.0,49.0,52.0,52.0,52.0,52.0,44.0,44.0,44.0,44.0,44.0
Chauffry (77169),https://www.journaldunet.com/management/ville/chauffry/ville-77106/demographie,1023.0,198.0,400.0,2.6,315.0,10.0,5.0,5.0,498.0,525.0,209.0,163.0,196.0,233.0,153.0,63.0,25.0,130.0,160.0,155.0,80.0,55.0,20.0,5.0,197.0,379.0,36.0,39.0,104.0,60.0,22.0,10.0,12.0,0.0,2.0,16.0,4.0,57.0,27.0,30.0,0.0,3.0,39.0,15.0,904.0,909.0,937.0,964.0,992.0,1021.0,1025.0,1023.0,1021.0,1019.0,1022.0,1022.0,1023.0,7.0,8.0,12.0,10.0,15.0,9.0,13.0,17.0,12.0,10.0,10.0,11.0,12.0,12.0,11.0,12.0,7.0,11.0,12.0,3.0,10.0,6.0,2.0,4.0,4.0,4.0,8.0,2.0,6.0,7.0,8.0,6.0,8.0,1.0,10.0,5.0,2.0,5.0,2.0,3.0,4.0,5.0,23.0,23.0,32.0,32.0,32.0,32.0,32.0,30.0,30.0,30.0,30.0,30.0,22.0,27.0,27.0,45.0,47.0,47.0,47.0,48.0,50.0,50.0,50.0,50.0,50.0,57.0
Bombon (77720),https://www.journaldunet.com/management/ville/bombon/ville-77044/demographie,965.0,64.0,342.0,2.8,257.0,11.0,23.0,-12.0,451.0,514.0,171.0,134.0,172.0,209.0,153.0,99.0,15.0,103.0,138.0,124.0,40.0,69.0,19.0,5.0,162.0,375.0,40.0,85.0,85.0,47.0,23.0,10.0,13.0,4.0,2.0,9.0,8.0,44.0,14.0,30.0,2.0,4.0,22.0,16.0,913.0,913.0,1000.0,957.0,908.0,860.0,845.0,860.0,890.0,926.0,961.0,961.0,965.0,11.0,8.0,13.0,14.0,14.0,10.0,11.0,14.0,9.0,7.0,10.0,11.0,11.0,12.0,8.0,6.0,3.0,4.0,8.0,9.0,11.0,9.0,11.0,13.0,7.0,16.0,8.0,14.0,8.0,9.0,12.0,8.0,4.0,7.0,7.0,14.0,22.0,17.0,16.0,25.0,17.0,23.0,31.0,31.0,34.0,20.0,19.0,19.0,19.0,20.0,23.0,23.0,23.0,23.0,23.0,46.0,46.0,51.0,45.0,44.0,42.0,42.0,43.0,42.0,44.0,45.0,45.0,44.0
Melun (77000),https://www.journaldunet.com/management/ville/melun/ville-77288//demographie,39947.0,4969.0,17156.0,2.3,9802.0,866.0,310.0,556.0,19368.0,20579.0,9171.0,9145.0,8899.0,6493.0,3808.0,2061.0,2541.0,2999.0,4262.0,3563.0,2569.0,2024.0,1139.0,507.0,10849.0,10934.0,2282.0,1560.0,3866.0,1286.0,7876.0,3927.0,3949.0,1985.0,885.0,3917.0,1089.0,9183.0,4552.0,4631.0,579.0,1119.0,5685.0,1800.0,37663.0,37835.0,38938.0,39400.0,39589.0,39497.0,40503.0,40066.0,40011.0,39914.0,40228.0,40032.0,39947.0,666.0,695.0,691.0,767.0,767.0,733.0,806.0,830.0,829.0,820.0,835.0,820.0,846.0,826.0,831.0,838.0,790.0,791.0,834.0,842.0,866.0,260.0,246.0,247.0,269.0,286.0,269.0,225.0,279.0,248.0,247.0,256.0,210.0,266.0,249.0,244.0,246.0,270.0,263.0,263.0,282.0,310.0,5487.0,5756.0,5892.0,5801.0,5860.0,5806.0,6211.0,6832.0,6913.0,7136.0,7428.0,7480.0,7876.0,6844.0,7166.0,7499.0,7443.0,7369.0,7494.0,7887.0,8282.0,8275.0,8574.0,8706.0,8827.0,9183.0
Brou-sur-Chantereine (77177),https://www.journaldunet.com/management/ville/brou-sur-chantereine/ville-77055/demographie,4440.0,1037.0,1788.0,2.5,1196.0,82.0,26.0,56.0,2122.0,2318.0,1067.0,753.0,1038.0,834.0,525.0,205.0,323.0,267.0,605.0,374.0,359.0,315.0,117.0,31.0,1029.0,1353.0,270.0,180.0,392.0,149.0,516.0,263.0,253.0,138.0,35.0,280.0,63.0,583.0,280.0,303.0,44.0,41.0,393.0,105.0,4258.0,4253.0,4219.0,4167.0,4254.0,4324.0,4393.0,4414.0,4450.0,4411.0,4396.0,4382.0,4440.0,56.0,69.0,78.0,66.0,51.0,70.0,59.0,81.0,70.0,69.0,61.0,81.0,73.0,68.0,80.0,73.0,77.0,52.0,74.0,69.0,82.0,19.0,21.0,21.0,30.0,26.0,25.0,27.0,19.0,28.0,20.0,22.0,28.0,23.0,28.0,32.0,21.0,28.0,23.0,28.0,20.0,26.0,270.0,262.0,257.0,248.0,392.0,397.0,402.0,405.0,406.0,513.0,510.0,510.0,516.0,370.0,363.0,358.0,347.0,531.0,540.0,547.0,549.0,557.0,577.0,576.0,575.0,583.0
Collégien (77090),https://www.journaldunet.com/management/ville/collegien/ville-77121/demographie,3380.0,792.0,1270.0,2.7,967.0,28.0,13.0,15.0,1675.0,1705.0,721.0,557.0,716.0,707.0,561.0,112.0,213.0,294.0,461.0,400.0,202.0,238.0,101.0,25.0,757.0,1216.0,158.0,101.0,254.0,173.0,232.0,118.0,114.0,30.0,17.0,100.0,85.0,532.0,250.0,282.0,11.0,25.0,263.0,233.0,3191.0,3149.0,3138.0,3142.0,3145.0,3099.0,3150.0,3239.0,3329.0,3418.0,3412.0,3400.0,3380.0,39.0,41.0,57.0,42.0,40.0,30.0,42.0,42.0,40.0,45.0,47.0,47.0,38.0,50.0,52.0,47.0,51.0,41.0,24.0,30.0,28.0,11.0,7.0,6.0,11.0,9.0,6.0,5.0,7.0,11.0,7.0,12.0,12.0,11.0,12.0,11.0,18.0,7.0,13.0,9.0,13.0,13.0,141.0,138.0,159.0,159.0,159.0,157.0,159.0,204.0,211.0,216.0,216.0,215.0,232.0,342.0,335.0,426.0,426.0,426.0,419.0,425.0,477.0,492.0,503.0,501.0,500.0,532.0
Choisy-en-Brie (77320),https://www.journaldunet.com/management/ville/choisy-en-brie/ville-77116/demographie,1320.0,53.0,525.0,2.5,395.0,15.0,5.0,10.0,683.0,637.0,243.0,218.0,239.0,286.0,220.0,107.0,25.0,155.0,215.0,200.0,55.0,110.0,25.0,5.0,246.0,541.0,42.0,54.0,149.0,45.0,35.0,18.0,17.0,2.0,2.0,19.0,12.0,56.0,29.0,27.0,0.0,1.0,24.0,31.0,1283.0,1302.0,1321.0,1336.0,1347.0,1356.0,1365.0,1374.0,1395.0,1408.0,1379.0,1349.0,1320.0,11.0,19.0,9.0,22.0,18.0,12.0,10.0,13.0,11.0,17.0,16.0,13.0,25.0,15.0,11.0,26.0,20.0,9.0,12.0,11.0,15.0,5.0,4.0,9.0,13.0,9.0,9.0,11.0,9.0,5.0,3.0,5.0,10.0,5.0,8.0,10.0,15.0,13.0,13.0,12.0,12.0,5.0,21.0,21.0,21.0,21.0,21.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,44.0,44.0,44.0,44.0,44.0,49.0,49.0,49.0,49.0,49.0,60.0,56.0,56.0
Arville (77890),https://www.journaldunet.com/management/ville/arville/ville-77009/demographie,124.0,11.0,55.0,2.3,35.0,2.0,3.0,-1.0,62.0,62.0,21.0,18.0,28.0,20.0,28.0,8.0,15.0,10.0,10.0,20.0,10.0,5.0,0.0,0.0,23.0,50.0,7.0,11.0,11.0,2.0,,,,,,,,,,,,,,,139.0,139.0,141.0,136.0,132.0,127.0,124.0,121.0,122.0,124.0,125.0,125.0,124.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartrettes (77590),https://www.journaldunet.com/management/ville/chartrettes/ville-77096/demographie,2544.0,252.0,1055.0,2.4,790.0,26.0,29.0,-3.0,1223.0,1321.0,453.0,352.0,416.0,604.0,457.0,215.0,80.0,355.0,355.0,405.0,160.0,170.0,45.0,10.0,441.0,1056.0,120.0,145.0,188.0,141.0,114.0,53.0,61.0,13.0,6.0,57.0,38.0,187.0,87.0,100.0,11.0,9.0,89.0,78.0,2514.0,2527.0,2540.0,2529.0,2556.0,2573.0,2588.0,2602.0,2596.0,2607.0,2565.0,2554.0,2544.0,26.0,30.0,24.0,26.0,27.0,22.0,24.0,18.0,24.0,20.0,28.0,26.0,32.0,19.0,12.0,25.0,18.0,34.0,30.0,24.0,26.0,38.0,23.0,42.0,23.0,17.0,34.0,26.0,21.0,30.0,44.0,31.0,28.0,33.0,31.0,39.0,28.0,17.0,38.0,24.0,27.0,29.0,118.0,118.0,118.0,118.0,117.0,113.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,176.0,177.0,177.0,177.0,178.0,179.0,183.0,183.0,182.0,184.0,187.0,187.0,187.0
