Ville,Lien,Jean-Luc Mélenchon,Emmanuel Macron,Marine Le Pen,Éric Zemmour,Valérie Pécresse,Yannick Jadot,Fabien Roussel,Jean Lassalle,Nicolas Dupont-Aignan,Anne Hidalgo,Philippe Poutou,Nathalie Arthaud,Taux de participation,Taux d'abstention,Votes blancs (en pourcentage des votes exprimés),Votes nuls (en pourcentage des votes exprimés),Nombre de votants
sept-sorts,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sept-sorts/ville-77448,24.67,24.33,28.67,5.00,8.33,3.00,3.00,1.00,1.33,0.33,0.33,0.00,81.33,18.67,1.64,0.0,305.0
chalautre-la-grande,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chalautre-la-grande/ville-77072,14.93,17.31,37.31,7.76,12.24,2.39,2.09,2.99,2.09,0.60,0.00,0.30,75.05,24.95,2.31,0.87,346.0
buthiers,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-buthiers/ville-77060,16.36,24.07,23.60,9.35,8.64,6.78,3.50,3.97,2.34,0.70,0.23,0.47,82.14,17.86,1.6,0.46,437.0
saint-augustin,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-augustin/ville-77400,17.49,27.13,29.87,7.56,4.73,4.16,1.61,2.17,3.21,0.66,0.76,0.66,77.95,22.05,1.48,0.37,1 078
hondevilliers,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-hondevilliers/ville-77228,16.23,19.48,37.66,8.44,7.79,1.30,0.65,1.95,4.55,0.65,0.65,0.65,75.59,24.41,1.86,2.48,161.0
leudon-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-leudon-en-brie/ville-77250,11.58,17.89,33.68,10.53,12.63,4.21,0.00,2.11,5.26,0.00,2.11,0.00,85.09,14.91,2.06,0.0,97.0
mery-sur-marne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mery-sur-marne/ville-77290,21.07,24.04,26.71,5.34,4.15,5.34,2.97,3.56,4.45,1.48,0.59,0.30,73.97,26.03,1.17,0.0,341.0
ferrieres-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-ferrieres-en-brie/ville-77181,21.64,30.44,19.77,7.45,5.87,5.57,1.17,2.52,3.11,1.35,0.47,0.65,83.51,16.49,2.17,0.51,1 752
sognolles-en-montois,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sognolles-en-montois/ville-77454,17.86,20.24,31.35,12.70,3.97,5.56,3.17,0.40,3.97,0.00,0.79,0.00,79.03,20.97,3.08,0.0,260.0
salins,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-salins/ville-77439,21.29,17.04,33.56,9.54,4.94,3.75,2.90,2.73,2.04,0.68,1.02,0.51,74.47,25.53,0.17,2.16,601.0
