ville,lien,Région,Département,Etablissement public de coopération intercommunale (EPCI),Code postal (CP),Code Insee,Nom des habitants,Population (2018),Population : rang national (2018),Densité de population (2018),Taux de chômage (2018),Pavillon bleu,Ville d'art et d'histoire,Ville fleurie,Ville internet,Superficie (surface),Altitude min.,Altitude max.,Latitude,Longitude
Saint-Germain-sur-École (77930),https://www.journaldunet.com/management/ville/saint-germain-sur-ecole/ville-77412,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77930,77412,"Saint-Germanois, Saint-Germanoises",379 hab.,n°19 362 ,150 hab/km²,"6,7 %",non,non,Aucune fleur,Aucune arobase,"2,5 km²",45 mètre(s),80 mètre(s),"48,4743","2,51078"
Montévrain (77144),https://www.journaldunet.com/management/ville/montevrain/ville-77307,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77144,77307,"Montrévinois, Montrévinoises",12 764 hab.,n°767 ,2 342 hab/km²,"8,1 %",non,non,2 fleur(s),2 arobase(s),"5,5 km²",38 mètre(s),128 mètre(s),"48,8683","2,7496"
Esbly (77450),https://www.journaldunet.com/management/ville/esbly/ville-77171,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77450,77171,"Esblygeois, Esblygeoises",6 339 hab.,n°1 684 ,2 032 hab/km²,"9,5 %",non,non,1 fleur(s),Aucune arobase,"3,1 km²",42 mètre(s),111 mètre(s),"48,9006","2,81239"
Tousson (77123),https://www.journaldunet.com/management/ville/tousson/ville-77471,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77123,77471,"Toussonnais, Toussonnaises",377 hab.,n°19 433 ,28 hab/km²,"8,7 %",non,non,Aucune fleur,Aucune arobase,"13,2 km²",104 mètre(s),133 mètre(s),"48,3433","2,45793"
Saint-Ouen-en-Brie (77720),https://www.journaldunet.com/management/ville/saint-ouen-en-brie/ville-77428,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77720,77428,"Audoniens, Audoniennes",838 hab.,n°11 377 ,147 hab/km²,"5,5 %",non,non,Aucune fleur,Aucune arobase,"5,7 km²",91 mètre(s),124 mètre(s),"48,5656","2,91985"
Châtillon-la-Borde (77820),https://www.journaldunet.com/management/ville/chatillon-la-borde/ville-77103,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77820,77103,"Castels-la-Bordiciens, Castelles-la-Bordiciennes",217 hab.,n°25 292 ,30 hab/km²,"7,3 %",non,non,Aucune fleur,Aucune arobase,"7,3 km²",86 mètre(s),116 mètre(s),"48,5377","2,82685"
Isles-lès-Villenoy (77450),https://www.journaldunet.com/management/ville/isles-les-villenoy/ville-77232,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77450,77232,"Insuvilets, Insuvilettes",1 082 hab.,n°9 271 ,155 hab/km²,"9,7 %",non,non,Aucune fleur,Aucune arobase,"7,0 km²",40 mètre(s),72 mètre(s),"48,9171","2,83057"
Lagny-sur-Marne (77400),https://www.journaldunet.com/management/ville/lagny-sur-marne/ville-77243,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77400,77243,"Latignaciens, Latignaciennes ou Laniaques",21 354 hab.,n°430 ,3 733 hab/km²,"11,7 %",non,non,3 fleur(s),Aucune arobase,"5,7 km²",37 mètre(s),112 mètre(s),"48,8731","2,70978"
Fromont (77760),https://www.journaldunet.com/management/ville/fromont/ville-77198,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77760,77198,"Fromontois, Fromontoises",242 hab.,n°24 161 ,23 hab/km²,"7,2 %",non,non,Aucune fleur,Aucune arobase,"10,7 km²",107 mètre(s),142 mètre(s),"48,2535","2,50835"
Saint-Méry (77720),https://www.journaldunet.com/management/ville/saint-mery/ville-77426,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77720,77426,"Médériciens, Médériciennes",343 hab.,n°20 422 ,35 hab/km²,"4,3 %",non,non,Aucune fleur,Aucune arobase,"9,9 km²",73 mètre(s),113 mètre(s),"48,5703","2,83792"
Jutigny (77650),https://www.journaldunet.com/management/ville/jutigny/ville-77242,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77650,77242,"Jutigniciens, Jutigniciennes",542 hab.,n°15 658 ,118 hab/km²,"7,2 %",non,non,Aucune fleur,Aucune arobase,"4,6 km²",61 mètre(s),136 mètre(s),"48,494","3,22667"
Everly (77157),https://www.journaldunet.com/management/ville/everly/ville-77174,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77157,77174,"Everlytois, Everlytoises",586 hab.,n°14 878 ,67 hab/km²,"12,2 %",non,non,1 fleur(s),Aucune arobase,"8,8 km²",54 mètre(s),81 mètre(s),"48,4603","3,26384"
Isles-les-Meldeuses (77440),https://www.journaldunet.com/management/ville/isles-les-meldeuses/ville-77231,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77440,77231,"Iléos-Meldois, Iléos-Meldoises",813 hab.,n°11 646 ,117 hab/km²,"10,9 %",non,non,Aucune fleur,Aucune arobase,"6,9 km²",42 mètre(s),119 mètre(s),"48,9977","3,01255"
Châtenoy (77167),https://www.journaldunet.com/management/ville/chatenoy/ville-77102,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77167,77102,nc,165 hab.,n°27 842 ,34 hab/km²,"7,1 %",non,non,Aucune fleur,Aucune arobase,"4,9 km²",100 mètre(s),119 mètre(s),"48,2309","2,62712"
Esmans (77940),https://www.journaldunet.com/management/ville/esmans/ville-77172,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77940,77172,"Esmanais, Esmanaises",893 hab.,n°10 819 ,50 hab/km²,"9,5 %",non,non,Aucune fleur,Aucune arobase,"17,8 km²",50 mètre(s),128 mètre(s),"48,343","2,96916"
Avon (77210),https://www.journaldunet.com/management/ville/avon/ville-77014,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77210,77014,"Avonnais, Avonnaises",13 662 hab.,n°713 ,3 567 hab/km²,"13,2 %",non,non,3 fleur(s),Aucune arobase,"3,8 km²",42 mètre(s),100 mètre(s),"48,413","2,73352"
Servon (77170),https://www.journaldunet.com/management/ville/servon/ville-77450,Île-de-France,Seine-et-Marne,Communauté de communes l'Orée de la Brie,77170,77450,nc,3 269 hab.,n°3 372 ,442 hab/km²,"7,2 %",non,non,Aucune fleur,1 arobase(s),"7,4 km²",65 mètre(s),97 mètre(s),"48,7151","2,59164"
Bussy-Saint-Georges (77600),https://www.journaldunet.com/management/ville/bussy-saint-georges/ville-77058,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77600,77058,nc,26 806 hab.,n°323 ,2 002 hab/km²,"10,6 %",non,non,Aucune fleur,1 arobase(s),"13,4 km²",63 mètre(s),130 mètre(s),"48,8308","2,7225"
Rumont (77760),https://www.journaldunet.com/management/ville/rumont/ville-77395,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77760,77395,nc,122 hab.,n°30 311 ,18 hab/km²,"1,7 %",non,non,Aucune fleur,Aucune arobase,"6,6 km²",106 mètre(s),142 mètre(s),"48,2704","2,49512"
Chartronges (77320),https://www.journaldunet.com/management/ville/chartronges/ville-77097,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77097,"Chartrongeais, Chartrongeaises",295 hab.,n°22 062 ,36 hab/km²,"6,8 %",non,non,Aucune fleur,Aucune arobase,"8,2 km²",147 mètre(s),167 mètre(s),"48,7514","3,26256"
Beton-Bazoches (77320),https://www.journaldunet.com/management/ville/beton-bazoches/ville-77032,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77320,77032,"Bétonais, Bétonaises",917 hab.,n°10 589 ,50 hab/km²,"9,2 %",non,non,Aucune fleur,Aucune arobase,"18,3 km²",128 mètre(s),183 mètre(s),"48,7072","3,24596"
Sourdun (77171),https://www.journaldunet.com/management/ville/sourdun/ville-77459,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77171,77459,"Sourdunois, Sourdunoises",1 494 hab.,n°6 999 ,64 hab/km²,"11,6 %",non,non,Aucune fleur,Aucune arobase,"23,3 km²",92 mètre(s),173 mètre(s),"48,5369","3,36288"
Iverny (77165),https://www.journaldunet.com/management/ville/iverny/ville-77233,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77165,77233,"Ivernais, Ivernaises",586 hab.,n°14 883 ,333 hab/km²,"9,2 %",non,non,Aucune fleur,Aucune arobase,"1,8 km²",94 mètre(s),123 mètre(s),"48,9962","2,79089"
