Ville,Lien,Allocataires CAF,Bénéficiaires du RSA, - bénéficiaires du RSA majoré, - bénéficiaires du RSA socle,Bénéficiaires de l'aide au logement, - bénéficiaires de l'APL (aide personnalisée au logement), - bénéficiaires de l'ALF (allocation de logement à caractère familial), - bénéficiaires de l'ALS (allocation de logement à caractère social), - bénéficiaires de l'Allocation pour une location immobilière, - bénéficiaires de l'Allocation pour un achat immobilier,Bénéficiaires des allocations familiales, - bénéficiaires du complément familial, - bénéficiaires de l'allocation de soutien familial, - bénéficiaires de l'allocation de rentrée scolaire,Médecins généralistes,Masseurs-kinésithérapeutes,Dentistes,Infirmiers,Spécialistes ORL,Ophtalmologistes,Dermatologues,Sage-femmes,Pédiatres,Gynécologues,Pharmacies,Urgences,Ambulances,Etablissements de santé de court séjour,Etablissements de santé de moyen séjour,Etablissements de santé de long séjour,Etablissement d'accueil du jeune enfant,Maisons de retraite,Etablissements pour enfants handicapés,Etablissements pour adultes handicapés,Bénéficiaires de la PAJE, - bénéficiaires de l'allocation de base, - bénéficiaires du complément mode de garde pour une assistante maternelle, - bénéficiaires du complément de libre choix d'activité (CLCA ou COLCA), - bénéficiaires de la prime naissance ou adoption,nbre allocataires (2009),nbre allocataires (2010),nbre allocataires (2011),nbre allocataires (2012),nbre allocataires (2013),nbre allocataires (2014),nbre allocataires (2015),nbre allocataires (2016),nbre allocataires (2017),nbre allocataires (2018),nbre allocataires (2019),nbre allocataires (2020),nbre RSA (2009),nbre RSA (2010),nbre RSA (2011),nbre RSA (2012),nbre RSA (2013),nbre RSA (2014),nbre RSA (2015),nbre RSA (2016),nbre RSA (2017),nbre RSA (2018),nbre RSA (2019),nbre RSA (2020),nbre APL (2009),nbre APL (2010),nbre APL (2011),nbre APL (2012),nbre APL (2013),nbre APL (2014),nbre APL (2015),nbre APL (2016),nbre APL (2017),nbre APL (2018),nbre APL (2019),nbre APL (2020),nbre Alloc Familiales (2009),nbre Alloc Familiales (2010),nbre Alloc Familiales (2011),nbre Alloc Familiales (2012),nbre Alloc Familiales (2013),nbre Alloc Familiales (2014),nbre Alloc Familiales (2015),nbre Alloc Familiales (2016),nbre Alloc Familiales (2017),nbre Alloc Familiales (2018),nbre Alloc Familiales (2019),nbre Alloc Familiales (2020)
Chelles (77500),https://www.journaldunet.com/management/ville/chelles/ville-77108//sante-social,11206.0,1477.0,192.0,1285.0,4397.0,2639.0,1010.0,748.0,4038.0,359.0,5148.0,1097.0,692.0,2997.0,33.0,21.0,26.0,43.0,3.0,5.0,1.0,3.0,4.0,2.0,15.0,0.0,11.0,0.0,0.0,0.0,8.0,4.0,1.0,1.0,2139.0,1824.0,492.0,135.0,63.0,8306.0,8541.0,8746.0,8815.0,9128.0,9256.0,9328.0,10066.0,10204.0,10357.0,10517.0,11206.0,1259.0,1413.0,1492.0,1555.0,1738.0,1863.0,1940.0,1416.0,1413.0,1457.0,1485.0,1477.0,3643.0,3700.0,3812.0,3894.0,3974.0,4018.0,4064.0,4205.0,4351.0,4447.0,4387.0,4397.0,4271.0,4402.0,4502.0,4504.0,4628.0,4732.0,4894.0,4996.0,5043.0,5101.0,5101.0,5148.0
Amillis (77120),https://www.journaldunet.com/management/ville/amillis/ville-77002/sante-social,132.0,7.0,nc,nc,28.0,11.0,10.0,7.0,23.0,5.0,64.0,14.0,5.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,14.0,17.0,7.0,nc,102.0,110.0,116.0,103.0,99.0,104.0,111.0,112.0,109.0,109.0,120.0,132.0,5.0,5.0,7.0,5.0,7.0,10.0,10.0,,,,7.0,,31.0,36.0,38.0,35.0,28.0,28.0,32.0,29.0,28.0,28.0,26.0,28.0,55.0,62.0,61.0,58.0,59.0,58.0,64.0,66.0,63.0,64.0,64.0,64.0
Argentières (77390),https://www.journaldunet.com/management/ville/argentieres/ville-77007/sante-social,40.0,nc,nc,nc,,,,,,,31.0,5.0,nc,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,6.0,5.0,nc,48.0,49.0,48.0,45.0,45.0,45.0,42.0,42.0,40.0,39.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0,41.0,40.0,34.0,35.0,34.0,29.0,25.0,27.0,31.0,31.0,31.0
Augers-en-Brie (77560),https://www.journaldunet.com/management/ville/augers-en-brie/ville-77012/sante-social,36.0,5.0,nc,nc,7.0,nc,nc,nc,5.0,6.0,20.0,5.0,nc,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,10.0,6.0,nc,41.0,44.0,41.0,39.0,37.0,39.0,39.0,42.0,42.0,43.0,41.0,36.0,,,,,,,,,,,,,9.0,13.0,10.0,11.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,,29.0,29.0,23.0,25.0,24.0,25.0,24.0,27.0,28.0,25.0,25.0,20.0
Barcy (77910),https://www.journaldunet.com/management/ville/barcy/ville-77023/sante-social,49.0,5.0,nc,nc,12.0,nc,7.0,nc,6.0,5.0,27.0,7.0,nc,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,6.0,nc,25.0,24.0,42.0,35.0,34.0,37.0,40.0,42.0,47.0,47.0,45.0,49.0,,,,,,,,,,,,,,,6.0,7.0,6.0,7.0,11.0,10.0,11.0,11.0,12.0,12.0,18.0,,27.0,29.0,29.0,,,33.0,33.0,28.0,28.0,27.0
Beautheil-Saints (77120),https://www.journaldunet.com/management/ville/beautheil-saints/ville-77433/sante-social,301.0,33.0,nc,nc,24.0,5.0,14.0,7.0,17.0,7.0,170.0,29.0,15.0,72.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,56.0,43.0,6.0,nc,152.0,157.0,166.0,171.0,172.0,182.0,186.0,200.0,215.0,278.0,284.0,301.0,22.0,25.0,24.0,22.0,24.0,26.0,35.0,25.0,33.0,37.0,34.0,33.0,24.0,22.0,24.0,24.0,25.0,27.0,28.0,27.0,28.0,28.0,29.0,24.0,100.0,106.0,117.0,118.0,115.0,118.0,117.0,122.0,125.0,166.0,166.0,170.0
Bailly-Romainvilliers (77700),https://www.journaldunet.com/management/ville/bailly-romainvilliers/ville-77018/sante-social,1604.0,78.0,9.0,69.0,480.0,348.0,75.0,57.0,450.0,30.0,763.0,101.0,60.0,254.0,5.0,11.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,165.0,132.0,48.0,23.0,6.0,1233.0,1200.0,1252.0,1365.0,1448.0,1422.0,1404.0,1490.0,1487.0,1499.0,1464.0,1604.0,51.0,71.0,72.0,83.0,99.0,107.0,130.0,73.0,74.0,79.0,84.0,78.0,444.0,420.0,408.0,495.0,564.0,538.0,535.0,509.0,489.0,500.0,496.0,480.0,790.0,769.0,827.0,851.0,852.0,831.0,840.0,833.0,814.0,777.0,777.0,763.0
Bezalles (77970),https://www.journaldunet.com/management/ville/bezalles/ville-77033/sante-social,35.0,5.0,nc,nc,7.0,nc,6.0,nc,5.0,6.0,21.0,5.0,nc,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,nc,nc,36.0,35.0,31.0,37.0,35.0,33.0,33.0,38.0,36.0,36.0,31.0,35.0,,,,,,,,,,,,,11.0,9.0,9.0,12.0,11.0,8.0,9.0,7.0,,,,,25.0,24.0,22.0,20.0,23.0,23.0,22.0,22.0,21.0,18.0,18.0,21.0
Boissettes (77350),https://www.journaldunet.com/management/ville/boissettes/ville-77038/sante-social,39.0,nc,nc,nc,8.0,nc,nc,nc,nc,nc,17.0,nc,nc,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,nc,nc,nc,nc,30.0,31.0,31.0,35.0,32.0,28.0,27.0,27.0,27.0,27.0,32.0,39.0,,,,,,,,,,,,,,6.0,6.0,8.0,6.0,7.0,,,,,,8.0,24.0,21.0,21.0,22.0,21.0,19.0,20.0,17.0,13.0,17.0,17.0,17.0
Boitron (77750),https://www.journaldunet.com/management/ville/boitron/ville-77043/sante-social,47.0,7.0,nc,nc,,,,,,,25.0,7.0,nc,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,nc,6.0,5.0,nc,49.0,51.0,56.0,53.0,49.0,53.0,49.0,48.0,46.0,46.0,48.0,47.0,,,6.0,6.0,7.0,8.0,10.0,7.0,5.0,5.0,6.0,7.0,,,,,,,,,,,,,35.0,40.0,38.0,36.0,35.0,38.0,35.0,26.0,27.0,26.0,26.0,25.0
